timestamp,title,asin,consumptionDurationMs,terminationReason,deviceType,musicTerritory,isShufflePlay,titleSetAsin,trackLengthMs,artistAsin,selectionSourceArtistAsin
2021-08-20 00:43:08 UTC,Snap Out Of It,B00MAZ7ZHY,193000,trackFinished,A16ZV8BU3SN1N3,BR,true,B077ZYL1PG,193000,B00122BV7Q,
2021-08-20 00:39:52 UTC,The Jeweller's Hands,B073MSKP1Y,326000,userStop,A16ZV8BU3SN1N3,BR,true,B01N41L7CB,344000,B00122BV7Q,
2021-08-20 00:34:24 UTC,Black Treacle,B073NQTD3P,8000,userStop,A16ZV8BU3SN1N3,BR,true,B01N65O4JE,217000,B00122BV7Q,
2021-08-20 00:34:14 UTC,Potion Approaching,B073MR7CMT,212000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01NA6F8U5,212000,B00122BV7Q,
2021-08-20 00:30:40 UTC,Teddy Picker,B073MNZNVW,165000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LLY3XGG,165000,B00122BV7Q,
2021-08-20 00:27:53 UTC,Dancing Shoes,B073MSRTHX,141000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01N2GYXLO,141000,B00122BV7Q,
2021-08-20 00:20:16 UTC,Batphone,B07BYWSYZ1,262000,userStop,A16ZV8BU3SN1N3,BR,true,B07F8HHZ51,271000,B00122BV7Q,
2021-08-20 00:15:52 UTC,Knee Socks,B00MAZ808C,257000,trackFinished,A16ZV8BU3SN1N3,BR,true,B078G79JQB,257000,B00122BV7Q,
2021-08-20 00:11:33 UTC,Why'd You Only Call Me When You're High?,B00MAZ7YQQ,161000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LLW7XQ4,161000,B00122BV7Q,
2021-08-20 00:08:49 UTC,R U Mine?,B00MAZ7S94,201000,trackFinished,A16ZV8BU3SN1N3,BR,true,B077W8GHCT,201000,B00122BV7Q,
2021-08-20 00:05:25 UTC,No. 1 Party Anthem,B00MAZ7VU0,243000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01MQIQJEL,243000,B00122BV7Q,
2021-08-19 22:26:15 UTC,No. 1 Party Anthem,B00MAZ7VU0,212000,userStop,A16ZV8BU3SN1N3,BR,true,B01MQIQJEL,243000,B00122BV7Q,
2021-08-19 22:22:40 UTC,Fire And The Thud,B073MPWSVX,6000,userStop,A16ZV8BU3SN1N3,BR,true,B01MYO459L,237000,B00122BV7Q,
2021-08-19 22:22:32 UTC,505,B073MMJ87M,253000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01N64JC7M,253000,B00122BV7Q,
2021-08-19 22:12:43 UTC,505,B073MMJ87M,160000,userStop,A16ZV8BU3SN1N3,BR,true,B01N64JC7M,253000,B00122BV7Q,
2021-08-19 22:09:59 UTC,Tranquility Base Hotel & Casino [Explicit],B07CBJ4SBX,10000,userStop,A16ZV8BU3SN1N3,BR,true,B07F8DN3SK,212000,B00122BV7Q,
2021-08-19 22:09:48 UTC,The View From The Afternoon,B073MRQRD7,222000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LLVL7H6,222000,B00122BV7Q,
2021-08-19 22:06:02 UTC,Mardy Bum,B073MT4LHF,175000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01NA6I50H,175000,B00122BV7Q,
2021-08-19 22:03:01 UTC,D is for Dangerous,B073MVQQD5,8000,userNext,A16ZV8BU3SN1N3,BR,true,B01N532EZH,138000,B00122BV7Q,
2021-08-19 22:02:49 UTC,When The Sun Goes Down,B073MTD4TV,202000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LLUVXEE,202000,B00122BV7Q,
2021-08-19 21:59:25 UTC,Love is a Laserquest,B073NNT18H,11000,userNext,A16ZV8BU3SN1N3,BR,true,B01MYPF7R6,191000,B00122BV7Q,
2021-08-19 21:59:11 UTC,Do Me a Favour,B073N221Z3,209000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01MXQ14JH,209000,B00122BV7Q,
2021-08-19 21:55:39 UTC,One For The Road,B00MAZ7T2A,206000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LVTHCHD,206000,B00122BV7Q,
2021-08-19 21:52:11 UTC,My Propeller,B073N1K3VY,205000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LLZLR04,205000,B00122BV7Q,
2021-08-19 21:48:42 UTC,All My Own Stunts,B073NNQBG3,232000,trackFinished,A16ZV8BU3SN1N3,BR,true,B08CB4G75D,232000,B00122BV7Q,
2021-08-19 21:44:43 UTC,Piledriver Waltz,B073NR84XW,203000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01MTQ78TQ,203000,B00122BV7Q,
2021-08-19 21:41:17 UTC,Too Much To Ask,B073MTTXC4,183000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01N0EJXN7,183000,B00122BV7Q,
2021-08-19 21:38:11 UTC,Crying Lightning,B073N1YC8F,224000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01LVZU2B1,224000,B00122BV7Q,
2021-08-19 21:34:24 UTC,Fake Tales Of San Francisco,B073MRKP5J,177000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01MQJPUMU,177000,B00122BV7Q,
2021-08-19 21:31:03 UTC,Secret Door,B073MSLT1S,223000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01MRL4SA3,223000,B00122BV7Q,
2021-08-19 21:27:18 UTC,One Point Perspective,B07BYSJ7DS,208000,trackFinished,A16ZV8BU3SN1N3,BR,true,B07F8GPJT9,208000,B00122BV7Q,
2021-08-19 21:23:47 UTC,I Bet You Look Good On The Dancefloor,B073MQZHN6,173000,trackFinished,A16ZV8BU3SN1N3,BR,true,B01MRL5079,173000,B00122BV7Q,
2021-08-19 21:20:51 UTC,Fireside,B00MAZ7XWG,181000,trackFinished,A16ZV8BU3SN1N3,BR,true,B07WYZZZCZ,181000,B00122BV7Q,
2021-08-19 21:17:46 UTC,I Wanna Be Yours,B00MAZ814K,172000,userStop,A16ZV8BU3SN1N3,BR,true,B01N5AQYXE,184000,B00122BV7Q,
2021-08-19 21:14:53 UTC,No Buses,B00K37J100,193000,userStop,A16ZV8BU3SN1N3,BR,true,B07FLKB76M,197000,B00122BV7Q,
2021-08-19 20:31:02 UTC,No Buses,B00K37J100,190000,userStop,A16ZV8BU3SN1N3,BR,true,B07FLKB76M,197000,B00122BV7Q,
2021-08-19 20:27:49 UTC,Do I Wanna Know?,B00MAZ7RAO,256000,userStop,A16ZV8BU3SN1N3,BR,false,B01LLW9E8E,272000,B00122BV7Q,
2021-08-17 23:31:23 UTC,Young And Beautiful,B073PKJ2YC,158000,userStop,A16ZV8BU3SN1N3,BR,false,B09BMY83PM,236000,B005NWVP22,
2021-08-17 23:28:44 UTC,I Want You (She's So Heavy) (Remastered 2009),B07FSVNPN4,120000,userStop,A16ZV8BU3SN1N3,BR,false,B01MZAJ3FM,467000,B00GB0QTOY,
2021-08-17 23:25:03 UTC,A noite,B016DHV1AG,213000,userStop,A16ZV8BU3SN1N3,BR,false,B01LVXGN45,218000,B002Q6OWUA,
2021-08-17 23:21:33 UTC,A noite,B016DHV1AG,3000,trackScrub,A16ZV8BU3SN1N3,BR,false,B01LVXGN45,218000,B002Q6OWUA,
2021-08-17 23:15:54 UTC,A noite,B016DHV1AG,1000,userStop,A16ZV8BU3SN1N3,BR,false,B01LVXGN45,218000,B002Q6OWUA,
2021-08-17 23:10:41 UTC,Teto de Vidro,B00U2TA94Q,0,userStop,A16ZV8BU3SN1N3,BR,false,B01N7C2O16,212000,B000RSH5M6,
2021-08-17 23:09:58 UTC,Admirável Chip Novo,B00U2TAADG,99000,userStop,A16ZV8BU3SN1N3,BR,false,B07Z3ST5B2,191000,B000RSH5M6,
2021-08-17 23:08:17 UTC,Déjà Vu,B00TZU5QS2,10000,userStop,A16ZV8BU3SN1N3,BR,false,B07Z5HYKLD,258000,B000RSH5M6,
2021-08-17 23:08:05 UTC,Teto de Vidro,B00U2TA94Q,14000,userStop,A16ZV8BU3SN1N3,BR,false,B01N7C2O16,212000,B000RSH5M6,
2021-08-17 23:06:21 UTC,Não Existe Amor em Sp,B01D0SL8U4,134000,trackScrub,A16ZV8BU3SN1N3,BR,false,B07FJMDXYW,280000,B001C32D22,
2021-08-17 23:06:18 UTC,Não Existe Amor em Sp,B01D0SL8U4,129000,trackScrub,A16ZV8BU3SN1N3,BR,false,B07FJMDXYW,280000,B001C32D22,
2021-08-17 23:06:17 UTC,Não Existe Amor em Sp,B01D0SL8U4,127000,trackScrub,A16ZV8BU3SN1N3,BR,false,B07FJMDXYW,280000,B001C32D22,
2021-08-17 23:06:15 UTC,Não Existe Amor em Sp,B01D0SL8U4,126000,trackScrub,A16ZV8BU3SN1N3,BR,false,B07FJMDXYW,280000,B001C32D22,
2021-08-17 23:04:04 UTC,À Sua Maneira (De Música Ligeira),B00V9OWM8E,72000,userStop,A16ZV8BU3SN1N3,BR,false,B01LWI0EHB,301000,B000XXZ3RY,
2021-08-17 23:02:45 UTC,À Sua Maneira (De Música Ligeira),B00V9OWM8E,0,userStop,A16ZV8BU3SN1N3,BR,false,B01LWI0EHB,301000,B000XXZ3RY,
2021-08-17 23:01:06 UTC,Na Sua Estante,B00TZU5XBM,124000,trackScrub,A16ZV8BU3SN1N3,BR,false,B07GL9PDG3,222000,B000RSH5M6,
2021-08-17 22:58:07 UTC,Na Sua Estante,B00TZU5XBM,0,userStop,A16ZV8BU3SN1N3,BR,false,B07GL9PDG3,222000,B000RSH5M6,
2021-08-17 22:58:05 UTC,Na Sua Estante,B00TZU5XBM,0,userStop,A16ZV8BU3SN1N3,BR,false,B07GL9PDG3,222000,B000RSH5M6,
