,endTime,artistName,trackName,msPlayed
0,2020-08-31 19:51,Arctic Monkeys,Old Yellow Bricks,3008
1,2020-09-02 12:53,Arctic Monkeys,Old Yellow Bricks,190223
2,2020-09-02 12:57,Arctic Monkeys,Crying Lightning,224831
3,2020-09-02 13:00,Arctic Monkeys,Brianstorm,172866
4,2020-09-02 13:05,Arctic Monkeys,No. 1 Party Anthem,243131
5,2020-09-02 13:08,Arctic Monkeys,Cornerstone,197973
6,2020-09-02 13:11,Arctic Monkeys,Dancing Shoes,134971
7,2020-09-02 16:27,Édith Piaf,La vie en rose,186973
8,2020-09-02 16:31,Charles Trenet,La mer,201840
9,2020-09-02 16:34,Henri Salvador,Jardin d'hiver,168004
10,2020-09-02 16:37,Ben Mazué,10 ans de nous,175010
11,2020-09-02 16:40,Barbara Pravi,Je sers,199173
12,2020-09-02 16:44,Carla Bruni,Quelqu'un m'a dit,166226
13,2020-09-02 16:50,Le Couleur,Femme,235904
14,2020-09-02 16:54,Brigitte Bardot,Le soleil,195946
15,2020-09-02 16:56,Yves Duteil,Virages,90047
16,2020-09-04 20:14,Eyshila,Fiel a Mim,469553
17,2020-09-04 20:20,Anderson Freire,Raridade,154260
18,2020-09-04 21:33,Anderson Freire,Raridade,143464
19,2020-09-04 21:38,Eyshila,Me Derramar,279825
20,2020-09-04 21:43,Trazendo a Arca,Marca da Promessa,315693
21,2020-09-04 21:51,Diante do Trono,Aclame ao Senhor - Ao Vivo,455106
22,2020-09-04 21:56,Fernandinho,Uma Nova História - Acústico,278000
23,2020-09-04 22:02,Aline Barros,Rendido Estou (Arms Open Wide),382572
24,2020-09-04 22:09,Ministério Zoe,Aquieta Minh'alma,425800
25,2020-09-04 22:14,Aline Barros,Primeira Essência (Jardim Particular),293337
26,2020-09-04 22:21,Alessandro Vilas Boas,Quero Conhecer Jesus,360187
27,2020-09-04 22:31,Diante do Trono,Eis-me Aqui - Ao Vivo,502266
28,2020-09-04 22:39,Isadora Pompeo,Minha Morada - Ao Vivo,394854
29,2020-09-05 12:18,Isadora Pompeo,Minha Morada - Ao Vivo,16154
30,2020-09-05 12:25,Gabriela Rocha,Lugar Secreto,422333
31,2020-09-05 12:37,Irmão Lázaro,Eu Te Amo Tanto - Live,383666
32,2020-09-05 12:47,Diante do Trono,A Ele A Glória - Ao Vivo,593773
33,2020-09-05 12:53,Soraya Moraes,Caminho no Deserto,333533
34,2020-09-05 12:56,Eli Soares,Me Ajude A Melhorar,216320
35,2020-09-05 13:06,Casa Worship,A Casa É Sua,551868
36,2020-09-05 13:13,Clamor Pelas Nações,Que Amor É Esse - Ao vivo,403841
37,2020-09-05 17:31,Clamor Pelas Nações,Que Amor É Esse - Ao vivo,34482
38,2020-09-05 17:36,Aline Barros,Casa do Pai,284862
39,2020-09-05 17:49,Laura Souguellis,Em Teus Braços,733283
40,2020-09-05 18:05,Diante do Trono,Águas Purificadoras - Ao Vivo,965142
41,2020-09-05 18:11,Diante do Trono,Te Agradeço - Ao Vivo,304973
42,2020-09-05 18:16,Diante do Trono,Coração Igual ao Teu - Ao Vivo,308226
43,2020-09-05 18:23,Diante do Trono,Me Ama - Ao Vivo,343344
44,2020-09-05 18:23,Luma Elpidio,Que Amor É Esse,2461
45,2020-09-05 18:27,Karen Mattos,Maravilhado,245546
46,2020-09-05 18:33,Eyshila,Nada Pode Calar Um Adorador,319692
47,2020-09-05 18:41,Diante do Trono,Jesus em Tua Presença / Alto Preço - Ao Vivo,474253
48,2020-09-05 18:50,Hillsong UNITED,Oceans (Where Feet May Fail),536000
49,2020-09-05 19:01,Som Do Reino,Graça,633440
50,2020-09-05 19:07,Fernandinho,Faz Chover - Acústico,332906
51,2020-09-05 19:11,Izaac Santos,Uma Vida É Pouco pra Te Amar,262000
52,2020-09-05 19:18,Preto no Branco,Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,390386
53,2020-09-05 19:26,Gabriela Rocha,Eu Navegarei,469026
54,2020-09-05 19:32,Aline Barros,Ressuscita-me,343051
55,2020-09-05 19:42,Davi Sacer,Tua Graça Me Basta,439267
56,2020-09-05 19:58,Diante do Trono,Preciso de Ti - Ao Vivo,919733
57,2020-09-05 20:05,Juliano Son,Lindo És + Só Quero Ver Você - Ao Vivo,447843
58,2020-09-05 20:10,Leonardo Gonçalves,Getsêmani - Ao Vivo,304093
59,2020-09-05 20:12,Aline Barros,"Sonda-me, Usa-me",90016
60,2020-09-05 20:17,Aline Barros,"Sonda-me, Usa-me",238228
61,2020-09-05 20:24,Toque no Altar,Restitui,436773
62,2020-09-05 20:32,Fernandinho,Nada Além do Sangue - Acústico,388373
63,2020-09-05 20:37,Fernandinho,Grandes Coisas - Ao Vivo,297680
64,2020-09-05 20:44,Diante do Trono,Canção do Apocalipse - Ao Vivo,437386
65,2020-09-05 20:53,André Aquino,Quando Ele Vem - Live,521167
66,2020-09-05 22:11,André Aquino,Quando Ele Vem - Live,54842
67,2020-09-05 22:18,Rosa de Saron,Sem Você,7314
68,2020-09-05 22:18,Ministério Avivah,Maranata - Ao Vivo,384760
69,2020-09-05 22:18,Tiago Iorc,Dia Especial,1578
70,2020-09-06 20:32,Édith Piaf,La vie en rose,186978
71,2020-09-06 20:32,Henri Salvador,Jardin d'hiver,21929
